Student ID,Student Mid,Student Name,Student Add,Student Email,Student Phone,Student Marks,Student DateCreated
1,1,Tinkal2,USA,tinkal@gmail.com,0765645342,71,2021-11-01 14:50:39 
2,2,Finch,UK,finch@gmail.com,07867564534,73,2021-11-01 14:56:09 
3,1,Aron,UK,aron@gmail.com,07567564534,84,2021-11-01 15:05:42 
4,2,Bally,UK,bally@gmail.com,07867864534,92,2021-11-01 15:05:42 
5,1,Michel,IN,michel@gmail.com,07457564534,73,2021-11-01 15:05:42 
6,1,Nadia,IN,naida@gmail.com,07127564534,85,2021-11-01 15:05:42 
7,1,Urmi,UK,urmi@gmail.com,07775645342,49,2022-07-15 20:03:14 
8,2,Alex,USA,alex@gmail.com,07774545342,89,2022-07-15 20:04:08 
10,2,jaypal brahmbhatt,IBRAINERS LTD,office@ibrainers.uk,07774073238,65,2022-12-16 15:42:11 
11,2,Ripal Thumbar,UK,ripal@gmail.com,08767676767,,2022-12-16 15:43:02 
 
